,Unnamed: 0,price,Address,Total_sqft,latitude,longitude,BHK,Bathrooms
87,5579,4600000.0,"Crossings Republik, Ghaziabad, Delhi NCR",1425.0,28.6297895,77.4338883,3.0,2.0
88,5640,3800000.0,"Crossings Republik, Ghaziabad, Delhi NCR",1120.0,28.6297895,77.4338883,2.0,2.0
89,5645,5800000.0,"Crossings Republik, Ghaziabad, Delhi NCR",1750.0,28.6297895,77.4338883,4.0,3.0
90,5677,5000000.0,"Crossings Republik, Ghaziabad, Delhi NCR",1600.0,28.6297895,77.4338883,3.0,2.0
91,5707,3900000.0,"Crossings Republik, Ghaziabad, Delhi NCR",1275.0,28.630859,77.435943,2.0,2.0
92,5816,4200000.0,"Crossings Republik, Ghaziabad, Delhi NCR",1250.0,28.6297895,77.4338883,2.0,2.0
93,6901,4070000.000000001,"Crossings Republik, Ghaziabad, Delhi NCR",1344.0,28.6292053346484,77.4425681358874,2.0,2.0
94,7237,4630000.0,"Crossings Republik, Ghaziabad, Delhi NCR",1520.0,28.632544118716336,77.43501255539253,3.0,2.0
95,7388,2900000.0,"Crossings Republik, Ghaziabad, Delhi NCR",760.0,28.6297895,77.4338883,2.0,2.0
96,7418,6000000.0,"Crossings Republik, Ghaziabad, Delhi NCR",1600.0,28.624342,77.437552,3.0,3.0
97,7443,3600000.0,"Crossings Republik, Ghaziabad, Delhi NCR",1015.0,28.630282,77.437076,2.0,2.0
98,7478,3000000.0,"Crossings Republik, Ghaziabad, Delhi NCR",850.0,28.630282,77.437076,2.0,2.0
99,7547,4500000.0,"Crossings Republik, Ghaziabad, Delhi NCR",1200.0,28.6265608986869,77.4345774578298,2.0,2.0
100,7646,3800000.0,"Crossings Republik, Ghaziabad, Delhi NCR",1050.0,28.629808,77.440609,2.0,2.0
101,7735,7000000.0,"Crossings Republik, Ghaziabad, Delhi NCR",1898.0,28.62585,77.435336,4.0,3.0
102,690,4500000.0,"Dwarka Mor, New Delhi - West, Delhi NCR",800.0,28.61931610107422,77.03326416015625,3.0,2.0
103,853,3500000.0,"Dwarka Mor, New Delhi - West, Delhi NCR",850.0,28.619316,77.033262,3.0,2.0
104,899,5500000.0,"Dwarka Mor, New Delhi - West, Delhi NCR",1200.0,28.619316,77.033262,3.0,2.0
105,2462,5100000.0,"Dwarka Mor, New Delhi - West, Delhi NCR",1001.0,28.61931610107422,77.03326416015625,3.0,2.0
106,4211,3200000.0,"Dwarka Mor, New Delhi - West, Delhi NCR",612.0,28.61931610107422,77.03326416015625,2.0,2.0
107,4440,4000000.0,"Dwarka Mor, New Delhi - West, Delhi NCR",1100.0,28.619316,77.033262,2.0,2.0
108,4804,1900000.0,"Dwarka Mor, New Delhi - West, Delhi NCR",540.0,28.61931610107422,77.03326416015625,2.0,2.0
109,5190,3500000.0,"Dwarka Mor, New Delhi - West, Delhi NCR",650.0,28.619316,77.033262,2.0,2.0
110,5320,4300000.0,"Dwarka Mor, New Delhi - West, Delhi NCR",950.0,28.619316,77.033262,3.0,2.0
111,5345,3030000.0,"Dwarka Mor, New Delhi - West, Delhi NCR",600.0,28.619316,77.033262,2.0,2.0
112,5528,5000000.0,"Dwarka Mor, New Delhi - West, Delhi NCR",1000.0,28.619316,77.033262,3.0,2.0
113,6007,3000000.0,"Dwarka Mor, New Delhi - West, Delhi NCR",650.0,28.619316,77.033262,2.0,2.0
114,6087,5500000.0,"Dwarka Mor, New Delhi - West, Delhi NCR",950.0,28.619316,77.033262,3.0,2.0
115,6286,2900000.0,"Dwarka Mor, New Delhi - West, Delhi NCR",590.0,28.619316,77.033262,2.0,2.0
116,1204,3200000.0,"Eta 2, Greater Noida, Delhi NCR",1005.0,28.496992,77.537536,2.0,2.0
117,1757,3500000.0,"Eta 2, Greater Noida, Delhi NCR",1100.0,28.4988571,77.5409299,2.0,2.0
118,2675,4700000.0,"Eta 2, Greater Noida, Delhi NCR",1189.0,28.498557,77.5426504561929,2.0,2.0
119,2954,3900000.0,"Eta 2, Greater Noida, Delhi NCR",1050.0,28.49544,77.536555,3.0,2.0
